grp,label,specification,h1_estimate,h1_wcb_lo,h1_wcb_hi,h1_wcb_bound_one,h1_wcb_bound_one_alt,h1_p_one,h1_mde80,h1_mde90,h2_estimate,h2_wcb_lo,h2_wcb_hi,h2_wcb_bound_one,h2_wcb_bound_one_alt,h2_p_one
3,"Dense-segment Conley subsample, seed 4","Dense-segment Conley subsample, seed 4",-138.7157404170045,-357.7899351526156,23.230883751044583,-355.08869539414934,greater,0.897,334.7730243770451,394.0041913948765,-0.07896358754531654,-0.12407180605265813,-0.0023394734176672813,-0.004881728762199134,less,0.045
3,"Dense-segment Conley subsample, seed 5","Dense-segment Conley subsample, seed 5",-138.7158326264413,-357.7900719835314,23.230824527225813,-355.0888316748712,greater,0.897,334.7730751600369,394.004251162869,-0.0789637230126254,-0.12412281846832801,-0.002331125437386116,-0.004940467066099835,less,0.045
3,"Dense-segment Conley subsample, seed 6","Dense-segment Conley subsample, seed 6",-138.71573341414964,-357.7899293037613,23.230891606971916,-355.0886895310659,greater,0.897,334.77299772393405,394.0041600260484,-0.07895795289412988,-0.12406460240260317,-0.0023499546011493634,-0.004892121518430253,less,0.045
4,No variance winsorisation,No variance winsorisation,-138.17821961615624,-356.5568041401216,23.24469708346014,-353.9728728841927,greater,0.895,334.53055140554426,393.71881784290326,-0.07902738671217308,-0.12400241482741756,-0.002264183385377014,-0.004816910896025697,less,0.043
4,Variance winsorisation at 5th/95th,Variance winsorisation at 5th/95th,-141.4439419922491,-363.06146851214004,19.4686085420458,-359.32748399658266,greater,0.904,335.7568714086009,395.1621098228792,-0.07898955967028354,-0.12422698600629359,-0.002098730955346844,-0.00468488127736976,less,0.045
4,No segment random effect,No segment random effect,-105.58433523212479,-304.30541055193623,42.98873234624183,-299.2522312004386,greater,0.798,310.3366767839224,365.24433718622714,-0.08390505985877499,-0.13696606396802832,-0.03900998692982313,-0.038577122383016305,less,0.015
4,Minimum 50 wells per segment,Minimum 50 wells per segment,-106.8185649182042,-353.92292875913563,85.86191662141482,-353.92292875913563,greater,0.786,277.4709698000661,326.563722674674,-0.07801001916335969,-0.17385350541904937,-0.02427556361344926,-0.024305857880144065,less,0.015
4,Minimum 100 wells per segment,Minimum 100 wells per segment,-22.41730703717186,-216.92417679488165,35.53375577514361,-231.8249022044567,greater,0.724,170.31892838848788,200.45334233193202,-0.04484523053126383,-0.14041628740070122,0.10837120872765266,0.10858242844938512,less,0.112
4,No Covariate,Unadjusted outcome model (~ 1 + TBn),-126.85315730150138,-456.71600687174214,38.09176764116937,-453.1519652786119,greater,0.754,305.35657412191466,359.38310829522214,-0.07911858411707148,-0.12920629904567504,0.006268136001577874,0.004647020049581181,less,0.054
4,Augmented covariate set (+ precipitation),Augmented covariate set (+ precipitation),-137.67930253949888,-349.89993220298186,18.840281396587727,-346.4961763851396,greater,0.907,336.9707497198389,396.5907588108349,-0.08068198000056988,-0.12391127638176667,0.010040899408704458,0.004248999039426709,less,0.057
4,"ATO-weighted, equal segment information","ATO-weighted, equal segment information",-153.32727935741804,-381.55231639664714,12.371397370971472,-377.9215069653943,greater,0.93,333.06632109589674,391.9955222451111,-0.07106914728031384,-0.11657237433081949,0.035454497979811275,0.028149353830909468,less,0.096
4,Exclude river-border segments,Exclude river-border segments,-154.1343650798403,-322.71127070966065,-25.306566802885737,-322.71127070966065,greater,0.969,273.34610215732016,321.7090449621694,-0.06733961803697905,-0.1316014239494538,0.026790969844383318,0.03088474996129558,less,0.088
4,"Exclude aquifers with a border-crossing river (Q$\geq$10~m$^3$\,s$^{-1}$)",Exclude aquifers with a border-crossing river (Q >= 10 m3/s),-105.79466183513662,-322.78016887346513,135.2579802356285,-321.8955720218293,greater,0.869,256.66207809225756,302.07312769195346,-0.06220014491842952,-0.15109105743232948,0.03038650618624021,0.02816906303177838,less,0.114
