code,name,CC_1,CC_2,class,classF,cooperation_level,has_river_border,dist_class,class_stage1,classF_stage1,class_stage2,classF_stage2,measured_stage2,changed_stage2,changed_stage3,changed_overall,near_share_stage1,near_share_stage2,audit_error_class,audit_tier,comment_stage2,comment_stage3
AF016,Medium Zambesi Aquifer,ZMB,ZWE,UB,BL,0,TRUE,10-100km,UB,BL,UB,BL,False,False,False,False,0.7171,0.7171,,,,
AF017,Shire colluvium aquifer,MOZ,MWI,UB,UB,0,TRUE,10-100km,UB,UB,UB,UB,False,False,False,False,0.0,0.0,,,,
AF018,Arangua Alluvial,MOZ,ZMB,IU0,IU0,0,TRUE,10-100km,IU0,IU0,IU0,IU0,False,False,False,False,0.6722,0.6722,,,,
AF019,Bua River,MWI,ZMB,UB,UB,0,FALSE,10-100km,IU1,IU1,IU1,IU1,False,False,True,True,,,B,1,,"stage 3 (IU1->UB): audit class B, tier 1 -- settlement above the urban-cluster floor, yet the urban layer reads zero across the whole polygon; target re-derived from the rule on the corrected frame; evidence on the ZMB side"
AF020,Coastal Sedimentary Basin III,MOZ,TZA,UB,DA,0,TRUE,10-100km,UB,DA,UB,DA,False,False,False,False,0.3564,0.3564,,,,
AF021,Karoo Sandstone Aquifer,MOZ,TZA,IU1,IU1,0,TRUE,10-100km,IU1,IU1,IU1,IU1,False,False,False,False,,,,,,
AF022,Kalahari/Katangian Basin,COD,ZMB,UB,UB,0,FALSE,10-100km,UB,UB,UB,UB,False,False,False,False,,,,,,
AF023,Congo Intra-cratonic Basin,AGO,COD,UB,UB,0,TRUE,100+km,UB,UB,UB,UB,False,False,False,False,,,,,,
AF025,Karoo-Carbonate,CAF,COD,UB,UB,0,TRUE,100+km,UB,UB,UB,UB,True,False,False,False,,,,,,
AF025,Karoo-Carbonate,CAF,SSD,UB,UB,0,TRUE,100+km,UB,UB,UB,UB,True,False,False,False,,,,,,
AF025,Karoo-Carbonate,COD,SSD,UB,UB,0,TRUE,100+km,UB,UB,UB,UB,True,False,False,False,,,,,,
AF026,Tanganyika,BDI,COD,UB,DA,0,TRUE,100+km,UB,DA,UB,DA,True,False,False,False,,,,,,
AF026,Tanganyika,BDI,TZA,UB,DA,1,TRUE,100+km,UB,DA,UB,DA,True,False,False,False,0.2908,0.2908,,,,
AF026,Tanganyika,COD,TZA,UB,DA,0,FALSE,100+km,UB,DA,UB,DA,True,False,False,False,0.2908,0.0,,,,
AF027,Aquífero da Dolomite Pré-cambriana do baixo Congo / Aquifère dolomitique précambrien,AGO,COD,UB,UB,0,FALSE,100+km,UB,UB,UB,UB,True,False,False,False,,,,,,
AF027,Aquífero da Dolomite Pré-cambriana do baixo Congo / Aquifère dolomitique précambrien,COD,COG,IU1,IU1,0,FALSE,0-10km,IU1,IU1,IU1,IU1,True,False,False,False,,,,,,
AF029,Cuvette,COD,COG,UB,DA,0,TRUE,100+km,UB,DA,UB,DA,False,False,False,False,,,,,,
AF031,Coastal Sedimentary Basin / Karoo Sedimetary Aquifer,KEN,TZA,UB,UB,0,FALSE,10-100km,UB,UB,UB,UB,False,False,False,False,0.0,0.0,,,,
AF032,Kilimanjaro Aquifer,KEN,TZA,UB,DA,0,FALSE,10-100km,UB,DA,UB,DA,False,False,False,False,0.0634,0.0634,,,,
AF033,Aquifère du Bassin de l?Ogooué,COG,GAB,IU1,IU1,0,TRUE,10-100km,IU1,IU1,IU1,IU1,False,False,False,False,,,,,,
AF034,Aquifère des plateaux,COG,GAB,IU1,IU1,0,TRUE,0-10km,IU1,IU1,IU1,IU1,False,False,False,False,,,,,,
AF036,Kagera Aquifer,BDI,RWA,IU1,IU1,0,TRUE,0-10km,IU1,IU1,IU1,IU1,True,False,False,False,0.0,0.0,,,,
AF036,Kagera Aquifer,RWA,TZA,UB,DA,1,TRUE,10-100km,UB,DA,UB,DA,True,False,False,False,0.0,0.0,,,,
AF036,Kagera Aquifer,RWA,UGA,UB,DA,0,TRUE,100+km,UB,DA,UB,DA,True,False,False,False,0.0,0.0,,,,
AF036,Kagera Aquifer,TZA,UGA,UB,DA,0,TRUE,10-100km,UB,DA,UB,DA,True,False,False,False,0.0,0.0,,,,
AF038,Merti Aquifer,KEN,SOM,UB,UB,0,FALSE,100+km,UB,UB,UB,UB,False,False,False,False,,,,,,
AF039,Mount Elgon Aquifer,KEN,UGA,UB,BL,0,TRUE,10-100km,UB,BL,UB,BL,False,False,False,False,,,,,,
AF040,Aquifère nord-ouest Sangha,COG,GAB,IU0,IU0,0,TRUE,10-100km,IU0,IU0,IU0,IU0,False,False,False,False,,,,,,
AF042,Rio del Rey,CMR,NGA,UB,UB,0,FALSE,10-100km,IU1,IU1,IU1,IU1,False,False,True,True,,,B,1,,"stage 3 (IU1->UB): audit class B, tier 1 -- settlement above the urban-cluster floor, yet the urban layer reads zero across the whole polygon; target re-derived from the rule on the corrected frame; evidence on the CMR side"
AF043,Dawa,ETH,KEN,UB,BL,0,TRUE,10-100km,UB,BL,UB,BL,True,False,False,False,1.0,1.0,,,,
AF043,Dawa,ETH,SOM,UB,BL,0,TRUE,10-100km,UB,BL,UB,BL,True,False,False,False,1.0,0.0435,,,,
AF043,Dawa,KEN,SOM,UB,BL,0,TRUE,10-100km,UB,BL,UB,BL,True,False,False,False,1.0,0.0391,,,,
AF044,Jubba,ETH,SOM,UB,UB,0,TRUE,10-100km,UB,UB,UB,UB,False,False,False,False,,,,,,
AF045,Shebelle / Shabelle,ETH,SOM,UB,DA,0,FALSE,10-100km,UB,DA,UB,DA,False,False,False,False,,,,,,
AF046,Sudd Basin,ETH,SDN,IU1,IU1,0,FALSE,100+km,IU1,IU1,IU1,IU1,True,False,False,False,,,,,,
AF046,Sudd Basin,ETH,SSD,UB,DA,0,TRUE,100+km,UB,DA,UB,DA,True,False,False,False,,,,,,
AF046,Sudd Basin,KEN,SSD,IU1,IU1,0,FALSE,10-100km,IU1,IU1,IU1,IU1,True,False,False,False,,,,,,
AF046,Sudd Basin,SDN,SSD,IU1,IU1,0,FALSE,10-100km,IU1,IU1,IU1,IU1,True,False,False,False,,,,,,
AF047,Bassin sédimentaire côtier / Tano Basin,CIV,GHA,UB,UB,0,TRUE,10-100km,UB,UB,UB,UB,False,False,False,False,,,,,,
AF048,"Keta Basin, Coastal Sedimentary Basin / Bassin de Keta, Bassin Sédimentaire Côtier",BEN,NGA,UB,DA,0,FALSE,100+km,UB,DA,UB,DA,True,False,False,False,0.0669,0.0172,,,,
AF048,"Keta Basin, Coastal Sedimentary Basin / Bassin de Keta, Bassin Sédimentaire Côtier",BEN,TGO,UB,DA,0,TRUE,10-100km,UB,DA,UB,DA,True,False,False,False,0.3615,0.3615,,,,
AF048,"Keta Basin, Coastal Sedimentary Basin / Bassin de Keta, Bassin Sédimentaire Côtier",GHA,TGO,UB,DA,0,FALSE,10-100km,UB,DA,UB,DA,True,False,False,False,0.3615,0.0,,,,
AF051,Benue River sedimentary basin / Bassin sédimentaire de la Benoué,CMR,NGA,UB,BL,1,TRUE,10-100km,UB,BL,UB,BL,False,False,False,False,0.0,0.0,,,,
AF052,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,CAF,CMR,UB,DA,1,TRUE,100+km,UB,BL,UB,DA,True,True,False,True,0.728,0.0,,,stage 2 (UB->UB): near-zone share 0.728 -> 0.000,
AF052,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,CAF,SDN,UB,UB,0,FALSE,100+km,UB,BL,UB,UB,True,True,False,True,,,,,stage 2 (UB->UB): zone areas re-measured against this dyad's own border,
AF052,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,CAF,TCD,UB,BL,1,TRUE,100+km,UB,BL,UB,BL,True,False,False,False,0.0476,0.0,,,,
AF052,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,CMR,NGA,DA,DA,2,TRUE,100+km,UB,DA,UB,DA,True,False,True,True,0.728,0.0,C,1,,"stage 3 (UB->DA): audit class C, tier 1 -- groundwater irrigation absent from the whole polygon, contradicted by external sources; evidence on the CMR side"
AF052,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,CMR,TCD,DA,DA,2,TRUE,100+km,UB,DA,UB,DA,True,False,True,True,0.728,0.7331,C,1,,"stage 3 (UB->DA): audit class C, tier 1 -- groundwater irrigation absent from the whole polygon, contradicted by external sources; evidence on the CMR side"
AF052,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,DZA,NER,IU1,IU1,0,FALSE,100+km,UB,UB,IU1,IU1,True,True,False,True,0.6873,0.0,,,stage 2 (UB->IU1): all groundwater-irrigated cropland in the 100 km band belonged to another country's border; near-zone share 0.687 -> 0.000,
AF052,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,NER,NGA,DA,DA,2,TRUE,100+km,DA,DA,DA,DA,True,False,False,False,0.6873,0.6873,,,,
AF052,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,NER,TCD,UB,UB,2,FALSE,100+km,DA,DA,UB,UB,True,True,False,True,0.6873,0.0,,,stage 2 (DA->UB): all groundwater-irrigated cropland in the 100 km band belonged to another country's border; near-zone share 0.687 -> 0.000,
AF052,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,NGA,TCD,UB,DA,2,FALSE,100+km,DA,DA,UB,DA,True,True,False,True,0.0476,0.0,,,stage 2 (DA->UB): the side with less irrigation loses its 100 km-band cropland once the band is measured to this dyad's border; near-zone share 0.048 -> 0.000,
AF052,Lake Chad sedimentary basin / Bassin sédimentaire du Lac Tchad,SDN,TCD,DA,DA,0,FALSE,100+km,UB,DA,UB,DA,True,False,True,True,0.0476,0.0,C,1,,"stage 3 (UB->DA): audit class C, tier 1 -- groundwater irrigation absent from the whole polygon, contradicted by external sources; evidence on the SDN side"
AF053,Baggara Basin,CAF,SDN,UB,UB,0,FALSE,10-100km,UB,UB,UB,UB,True,False,False,False,0.0,0.0,,,,
AF053,Baggara Basin,SDN,SSD,UB,UB,0,FALSE,100+km,UB,UB,UB,UB,True,False,False,False,0.0,0.0,,,,
AF054,Volta Basin,BEN,BFA,UB,BL,0,TRUE,10-100km,UB,BL,UB,BL,True,False,False,False,0.0,0.0,,,,
AF054,Volta Basin,BEN,NER,IU0,IU0,0,TRUE,10-100km,IU1,IU1,IU0,IU0,True,True,False,True,0.0,0.0,,,stage 2 (IU1->IU0): the urban land in the 100 km band lay along a different border,
AF054,Volta Basin,BEN,TGO,UB,DA,2,TRUE,100+km,UB,DA,UB,DA,True,False,False,False,0.0192,0.0165,,,,
AF054,Volta Basin,BFA,NER,IU1,IU1,0,FALSE,10-100km,IU1,IU1,IU1,IU1,True,False,False,False,,,,,,
AF054,Volta Basin,BFA,TGO,UB,BL,0,TRUE,100+km,UB,BL,UB,BL,True,False,False,False,0.0192,0.0,,,,
AF054,Volta Basin,GHA,TGO,DA,DA,2,TRUE,10-100km,UB,DA,UB,DA,True,False,True,True,0.0192,0.0028,C,1,,"stage 3 (UB->DA): audit class C, tier 1 -- groundwater irrigation absent from the whole polygon, contradicted by external sources; evidence on the TGO side"
AF056,Système Aquifère des Iullemmeden / Iullemmeden Aquifer System,BEN,BFA,UB,BL,3,TRUE,10-100km,UB,BL,UB,BL,True,False,False,False,0.6558,0.0,,,,
AF056,Système Aquifère des Iullemmeden / Iullemmeden Aquifer System,BEN,NER,DA,DA,3,TRUE,100+km,DA,DA,DA,DA,True,False,False,False,0.6558,0.6419,,,,
AF056,Système Aquifère des Iullemmeden / Iullemmeden Aquifer System,BEN,NGA,DA,DA,3,TRUE,100+km,DA,DA,DA,DA,True,False,False,False,0.6558,0.0082,,,,
AF056,Système Aquifère des Iullemmeden / Iullemmeden Aquifer System,BFA,NER,UB,UB,3,FALSE,100+km,UB,BL,UB,UB,True,True,False,True,0.1346,0.0,,,stage 2 (UB->UB): near-zone share 0.135 -> 0.000,
AF056,Système Aquifère des Iullemmeden / Iullemmeden Aquifer System,DZA,MLI,IU0,IU0,3,FALSE,100+km,IU1,IU1,IU0,IU0,True,True,False,True,0.0,0.0,,,stage 2 (IU1->IU0): the urban land in the 100 km band lay along a different border,
AF056,Système Aquifère des Iullemmeden / Iullemmeden Aquifer System,DZA,NER,IU1,IU1,3,FALSE,100+km,IU1,IU1,IU0,IU0,True,True,True,False,0.1346,0.0,B,1,stage 2 (IU1->IU0): all groundwater-irrigated cropland in the 100 km band belonged to another country's border; the urban land in the 100 km band lay along a different border; near-zone share 0.135 -> 0.000,"stage 3 (IU0->IU1): audit class B, tier 1 -- settlement above the urban-cluster floor, yet the urban layer reads zero across the whole polygon; target re-derived from the rule on the corrected frame (stage-1 target was UB); future target re-inferred UB -> IU1; evidence on the DZA side"
AF056,Système Aquifère des Iullemmeden / Iullemmeden Aquifer System,MLI,NER,UB,DA,3,FALSE,100+km,UB,DA,UB,DA,True,False,False,False,0.1346,0.0,,,,
AF056,Système Aquifère des Iullemmeden / Iullemmeden Aquifer System,NER,NGA,DA,DA,3,TRUE,100+km,DA,DA,DA,DA,True,False,False,False,0.1346,0.1291,,,,
AF058,Senegalo-Mauritanian Aquifer Basin (SMAB) / Bassin Aquifère Sénégalo-Mauritanien / Bacia Aquífera Senegalo-Mauritana (BASM),ESH,MRT,UB,UB,0,FALSE,10-100km,UB,UB,UB,UB,True,False,False,False,1.0,0.0,,,,
AF058,Senegalo-Mauritanian Aquifer Basin (SMAB) / Bassin Aquifère Sénégalo-Mauritanien / Bacia Aquífera Senegalo-Mauritana (BASM),GMB,SEN,DA,DA,0,FALSE,10-100km,UB,DA,UB,DA,True,False,True,True,1.0,0.9997,C,1,,"stage 3 (UB->DA): audit class C, tier 1 -- groundwater irrigation absent from the whole polygon, contradicted by external sources; evidence on the GMB side"
AF058,Senegalo-Mauritanian Aquifer Basin (SMAB) / Bassin Aquifère Sénégalo-Mauritanien / Bacia Aquífera Senegalo-Mauritana (BASM),GNB,SEN,DA,DA,0,FALSE,10-100km,DA,DA,DA,DA,True,False,False,False,0.6496,0.001,,,,
AF058,Senegalo-Mauritanian Aquifer Basin (SMAB) / Bassin Aquifère Sénégalo-Mauritanien / Bacia Aquífera Senegalo-Mauritana (BASM),MRT,SEN,BL,BL,0,TRUE,100+km,BL,BL,BL,BL,True,False,False,False,1.0,1.0,,,,
AF059,Afar Rift Valley / Afar Triangle Aquifer,DJI,ERI,IU0,IU0,0,FALSE,10-100km,IU0,IU0,IU0,IU0,True,False,False,False,,,,,,
AF059,Afar Rift Valley / Afar Triangle Aquifer,DJI,ETH,UB,UB,0,FALSE,10-100km,IU1,IU1,IU1,IU1,True,False,True,True,,,B,1,,"stage 3 (IU1->UB): audit class B, tier 1 -- settlement above the urban-cluster floor, yet the urban layer reads zero across the whole polygon; target re-derived from the rule on the corrected frame; evidence on the DJI side"
AF059,Afar Rift Valley / Afar Triangle Aquifer,ERI,ETH,IU1,IU1,0,FALSE,10-100km,IU1,IU1,IU1,IU1,True,False,False,False,,,,,,
AF061,Gedarif-Adigrat,ETH,SDN,UB,DA,0,TRUE,100+km,UB,DA,UB,DA,False,False,False,False,0.0,0.0,,,,
AF062,Disa,SDN,TCD,UB,BL,0,FALSE,10-100km,UB,BL,UB,BL,False,False,False,False,,,,,,
AF063,Nubian Sandstone Aquifer System,EGY,LBY,DA,DA,3,FALSE,100+km,UB,UB,UB,UB,True,False,True,True,0.0,0.0,D,2,,"stage 3 (UB->DA): audit class D, tier 2 -- irrigation present on the polygon but recorded outside the 100 km band; target re-derived from the rule on the corrected frame; evidence on the LBY side"
AF063,Nubian Sandstone Aquifer System,EGY,SDN,IU1,UB,3,FALSE,100+km,UB,UB,IU1,UB,True,True,False,True,0.0,0.0,,,stage 2 (UB->IU1): all groundwater-irrigated cropland in the 100 km band belonged to another country's border,
AF063,Nubian Sandstone Aquifer System,LBY,SDN,IU1,IU1,3,FALSE,100+km,UB,UB,IU1,IU1,True,True,False,True,0.0,0.0,,,stage 2 (UB->IU1): zone areas re-measured against this dyad's own border,
AF063,Nubian Sandstone Aquifer System,LBY,TCD,IU0,IU0,3,FALSE,100+km,IU1,IU1,IU0,IU0,True,True,False,True,0.0,0.0,,,stage 2 (IU1->IU0): the urban land in the 100 km band lay along a different border,
AF063,Nubian Sandstone Aquifer System,SDN,TCD,IU1,IU1,3,FALSE,100+km,IU1,IU1,IU1,IU1,True,False,False,False,0.0,0.0,,,,
AF064,Taoudeni-Tanezrouft Aquifer System / Système Aquifère de Taoudéni-Tanezrouft,BFA,MLI,DA,DA,3,TRUE,100+km,DA,DA,DA,DA,True,False,False,False,0.0016,0.0016,,,,
AF064,Taoudeni-Tanezrouft Aquifer System / Système Aquifère de Taoudéni-Tanezrouft,DZA,MLI,IU1,IU1,3,FALSE,100+km,UB,UB,IU1,IU1,True,True,False,True,0.0,0.0,,,stage 2 (UB->IU1): all groundwater-irrigated cropland in the 100 km band belonged to another country's border,
AF064,Taoudeni-Tanezrouft Aquifer System / Système Aquifère de Taoudéni-Tanezrouft,MLI,MRT,UB,UB,3,FALSE,100+km,UB,UB,UB,UB,True,False,False,False,0.0,0.0,,,,
AF067,Système Aquifère de Mourzouk - Djado / Murzuk-Djado Aquifer System,DZA,LBY,DA,DA,0,FALSE,100+km,UB,UB,UB,UB,True,False,True,True,0.0002,0.0002,C,1,,"stage 3 (UB->DA): audit class C, tier 1 -- groundwater irrigation absent from the whole polygon, contradicted by external sources; evidence on the DZA side"
AF067,Système Aquifère de Mourzouk - Djado / Murzuk-Djado Aquifer System,DZA,NER,IU0,IU0,0,FALSE,100+km,IU1,IU1,IU0,IU0,True,True,False,True,,,,,stage 2 (IU1->IU0): the urban land in the 100 km band lay along a different border,
AF067,Système Aquifère de Mourzouk - Djado / Murzuk-Djado Aquifer System,LBY,NER,IU0,IU0,0,FALSE,100+km,IU1,IU1,IU0,IU0,True,True,False,True,0.0002,0.0,,,stage 2 (IU1->IU0): all groundwater-irrigated cropland in the 100 km band belonged to another country's border; the urban land in the 100 km band lay along a different border; near-zone share 0.000 -> 0.000,
AF067,Système Aquifère de Mourzouk - Djado / Murzuk-Djado Aquifer System,LBY,TCD,IU0,IU0,0,FALSE,100+km,IU1,IU1,IU0,IU0,True,True,False,True,0.0002,0.0,,,stage 2 (IU1->IU0): all groundwater-irrigated cropland in the 100 km band belonged to another country's border; the urban land in the 100 km band lay along a different border; near-zone share 0.000 -> 0.000,
AF067,Système Aquifère de Mourzouk - Djado / Murzuk-Djado Aquifer System,NER,TCD,IU0,IU0,0,FALSE,100+km,IU0,IU0,IU0,IU0,True,False,False,False,,,,,,
AF068,Système Aquifère de Tindouf,DZA,ESH,IU1,IU1,0,FALSE,100+km,UB,UB,IU1,IU1,True,True,False,True,,,,,stage 2 (UB->IU1): zone areas re-measured against this dyad's own border,
AF068,Système Aquifère de Tindouf,DZA,MAR,UB,UB,0,FALSE,100+km,UB,UB,UB,UB,True,False,False,False,0.0,0.0,,,,
AF068,Système Aquifère de Tindouf,DZA,MRT,IU1,IU1,0,FALSE,100+km,IU1,IU1,IU1,IU1,True,False,False,False,,,,,,
AF068,Système Aquifère de Tindouf,ESH,MAR,IU0,IU0,0,FALSE,100+km,UB,UB,IU0,IU0,True,True,False,True,0.0,0.0,,,stage 2 (UB->IU0): all groundwater-irrigated cropland in the 100 km band belonged to another country's border; the urban land in the 100 km band lay along a different border,
AF068,Système Aquifère de Tindouf,ESH,MRT,IU1,IU1,0,FALSE,10-100km,IU1,IU1,IU1,IU1,True,False,False,False,,,,,,
AF069,North-Western Sahara Aquifer System / Système Aquifère du Sahara Septentrional,DZA,LBY,IU1,IU1,3,FALSE,100+km,DA,DA,IU1,IU1,True,True,False,True,0.0148,0.0,,,stage 2 (DA->IU1): all groundwater-irrigated cropland in the 100 km band belonged to another country's border; near-zone share 0.015 -> 0.000,
AF069,North-Western Sahara Aquifer System / Système Aquifère du Sahara Septentrional,DZA,TUN,DA,DA,3,FALSE,100+km,DA,DA,DA,DA,True,False,False,False,0.0148,0.0145,,,,
AF069,North-Western Sahara Aquifer System / Système Aquifère du Sahara Septentrional,LBY,TUN,IU1,IU1,3,FALSE,100+km,DA,DA,IU1,IU1,True,True,False,True,0.0,0.0,,,stage 2 (DA->IU1): all groundwater-irrigated cropland in the 100 km band belonged to another country's border,
AF070,Système Aquifère d'Errachidia,DZA,MAR,UB,UB,0,FALSE,10-100km,UB,UB,UB,UB,False,False,False,False,0.0,0.0,,,,
AF072,Rift Aquifer,KEN,TZA,UB,DA,0,FALSE,10-100km,UB,DA,UB,DA,False,False,False,False,0.0,0.0,,,,
AF074; AF078,Nappe de la Plaine des Angad et de Maghnia; Nappe profonde de Jbel-Hamra,DZA,MAR,DA,DA,0,FALSE,10-100km,BL,DA,BL,DA,False,False,True,True,1.0,1.0,E,1,,"stage 3 (BL->DA): audit class E, tier 1 -- interior cropland understated, so the near-zone share is overstated; evidence on the MAR side"
AF076,Chott Tigri-Lahouita,DZA,MAR,IU0,IU0,0,FALSE,0-10km,IU0,IU0,IU0,IU0,False,False,False,False,,,,,,
AF077,Figuig Oasis,DZA,MAR,UB,UB,0,FALSE,0-10km,IU1,IU1,IU1,IU1,False,False,True,True,1.0,1.0,B,2,,"stage 3 (IU1->UB): audit class B, tier 2 -- settlement above the urban-cluster floor, yet the urban layer reads zero across the whole polygon; target re-derived from the rule on the corrected frame; evidence on the DZA side"
AF079,Coastal Aquifer System of the Jeffara Plain / Système Aquifère Côtier de la Plaine de la Djeffara,LBY,TUN,DA,DA,0,FALSE,100+km,DA,DA,DA,DA,False,False,False,False,0.0,0.0,,,,
AF081,Aquífero sedimentar costeiro do Rio Congo / Aquifère Côtier,AGO,COD,UB,UB,0,TRUE,10-100km,UB,UB,UB,UB,True,False,False,False,,,,,,
AF081,Aquífero sedimentar costeiro do Rio Congo / Aquifère Côtier,AGO,COG,UB,UB,0,FALSE,100+km,UB,UB,UB,UB,True,False,False,False,,,,,,
AF081,Aquífero sedimentar costeiro do Rio Congo / Aquifère Côtier,COG,GAB,IU0,IU0,0,FALSE,10-100km,IU1,IU1,IU0,IU0,True,True,False,True,,,,,stage 2 (IU1->IU0): the urban land in the 100 km band lay along a different border,
AF082,Aquifère du Bassin de la Nyanga,COG,GAB,IU1,IU1,0,TRUE,10-100km,IU1,IU1,IU1,IU1,False,False,False,False,,,,,,
AF083,Aquifère du Rift / Rift Aquifer,BDI,RWA,IU1,IU1,0,FALSE,0-10km,IU1,IU1,IU1,IU1,True,False,False,False,,,,,,
AF083,Aquifère du Rift / Rift Aquifer,COD,RWA,UB,DA,0,TRUE,10-100km,UB,DA,UB,DA,True,False,False,False,,,,,,
AF083,Aquifère du Rift / Rift Aquifer,COD,UGA,UB,DA,0,TRUE,100+km,UB,DA,UB,DA,True,False,False,False,,,,,,
